,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
45,2,1,3,0,0,0,496,239,687,124,-1,
46,3,1,3,1,0,0,496,239,687,124,-1,
47,4,1,3,1,1,0,530,239,621,24,-1,
48,5,1,3,1,1,1,530,239,47,19,86,"""He"
49,5,1,3,1,1,2,586,239,113,19,96,remarked
50,5,1,3,1,1,3,707,240,22,18,96,to
51,5,1,3,1,1,4,738,245,32,13,96,me
52,5,1,3,1,1,5,778,239,73,24,96,"then,"""
53,5,1,3,1,1,6,862,239,47,19,96,said
54,5,1,3,1,1,7,917,239,48,19,96,that
55,5,1,3,1,1,8,973,239,85,19,96,mildest
56,5,1,3,1,1,9,1066,239,24,19,96,of
57,5,1,3,1,1,10,1096,245,55,18,96,"men,"
58,4,1,3,1,2,0,610,272,480,25,-1,
59,5,1,3,1,2,1,610,272,43,19,64,"""If"
60,5,1,3,1,2,2,658,278,56,19,96,your
61,5,1,3,1,2,3,722,272,73,19,96,Snark
62,5,1,3,1,2,4,802,272,26,19,96,be
63,5,1,3,1,2,5,837,278,12,13,96,a
64,5,1,3,1,2,6,858,272,78,24,96,"Snark,"
65,5,1,3,1,2,7,944,272,48,19,96,that
66,5,1,3,1,2,8,1000,272,17,19,96,is
67,5,1,3,1,2,9,1026,272,64,25,96,right:
68,4,1,3,1,3,0,496,305,687,25,-1,
69,5,1,3,1,3,1,496,305,65,19,96,Fetch
70,5,1,3,1,3,2,570,305,16,19,96,it
71,5,1,3,1,3,3,594,305,62,19,96,home
72,5,1,3,1,3,4,665,305,29,25,96,by
73,5,1,3,1,3,5,702,305,28,19,93,all
74,5,1,3,1,3,6,739,311,145,19,91,means—you
75,5,1,3,1,3,7,893,311,49,19,95,may
76,5,1,3,1,3,8,950,311,59,13,96,serve
77,5,1,3,1,3,9,1018,305,16,19,96,it
78,5,1,3,1,3,10,1041,305,51,19,96,with
79,5,1,3,1,3,11,1101,311,82,19,96,"greens,"
80,4,1,3,1,4,0,645,338,408,25,-1,
81,5,1,3,1,4,1,645,338,51,19,94,And
82,5,1,3,1,4,2,705,338,34,19,94,it's
83,5,1,3,1,4,3,748,338,75,25,96,handy
84,5,1,3,1,4,4,830,338,35,19,96,for
85,5,1,3,1,4,5,873,338,91,25,96,striking
86,5,1,3,1,4,6,973,344,12,13,96,a
87,5,1,3,1,4,7,994,338,59,25,96,light.
88,2,1,4,0,0,0,511,404,657,124,-1,
89,3,1,4,1,0,0,511,404,657,124,-1,
90,4,1,4,1,1,0,511,404,657,25,-1,
91,5,1,4,1,1,1,511,404,72,19,32,"""You"
92,5,1,4,1,1,2,592,410,49,19,96,may
93,5,1,4,1,1,3,649,404,50,19,96,seek
94,5,1,4,1,1,4,706,404,16,19,95,it
95,5,1,4,1,1,5,729,404,51,19,93,with
96,5,1,4,1,1,6,788,404,175,19,91,thimbles—and
97,5,1,4,1,1,7,972,404,50,19,96,seek
98,5,1,4,1,1,8,1029,404,16,19,96,it
99,5,1,4,1,1,9,1052,404,51,19,97,with
100,5,1,4,1,1,10,1112,410,56,18,95,care;
101,4,1,4,1,2,0,626,437,447,25,-1,
102,5,1,4,1,2,1,626,437,49,19,96,You
103,5,1,4,1,2,2,684,443,49,19,96,may
104,5,1,4,1,2,3,741,437,56,19,96,hunt
105,5,1,4,1,2,4,805,437,16,19,96,it
106,5,1,4,1,2,5,828,437,51,19,96,with
107,5,1,4,1,2,6,887,437,60,19,96,forks
108,5,1,4,1,2,7,956,437,44,19,96,and
109,5,1,4,1,2,8,1009,437,64,25,96,hope;
110,4,1,4,1,3,0,564,470,550,25,-1,
111,5,1,4,1,3,1,564,470,49,19,96,You
112,5,1,4,1,3,2,622,476,49,19,96,may
113,5,1,4,1,3,3,678,470,99,19,96,threaten
114,5,1,4,1,3,4,786,470,26,19,95,its
115,5,1,4,1,3,5,821,470,35,19,96,life
116,5,1,4,1,3,6,864,470,51,19,97,with
117,5,1,4,1,3,7,924,476,12,13,93,a
118,5,1,4,1,3,8,945,470,169,25,87,railway-share;
119,4,1,4,1,4,0,591,503,516,25,-1,
120,5,1,4,1,4,1,591,503,49,19,96,You
121,5,1,4,1,4,2,649,509,49,19,95,may
122,5,1,4,1,4,3,706,503,74,19,96,charm
123,5,1,4,1,4,4,789,503,16,19,96,it
124,5,1,4,1,4,5,812,503,51,19,96,with
125,5,1,4,1,4,6,872,503,70,19,95,smiles
126,5,1,4,1,4,7,951,503,44,19,92,and
127,5,1,4,1,4,8,1004,503,103,25,64,"soap—'"""
128,2,1,5,0,0,0,558,569,564,124,-1,
129,3,1,5,1,0,0,558,569,564,58,-1,
130,4,1,5,1,1,0,558,569,564,25,-1,
131,5,1,5,1,1,1,558,569,99,25,59,"(""That's"
